mirror|weird|adapted_url|adapted_url_correct|adapted_url_archive|adapted_url_archive_correct
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index62f7.html?title=File:SittingDuck.png&action=history|False|http://robowiki.net/wiki/../w/index.php?title=File:SittingDuck.png&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Category_Licenses.html|True|http://robowiki.net/wiki/Category:Licenses|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_Licenses.html|True|http://robowiki.net/wiki/Licenses|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Apollon.html|False|http://robowiki.net/wiki/Apollon|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_GilgaladFiring.html|False|http://robowiki.net/wiki/File:GilgaladFiring|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_AW.html|False|http://robowiki.net/wiki/User:AW|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Gilgalad/targetingStrategy.html|False|http://robowiki.net/wiki/Gilgalad/targetingStrategy|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Gilgalad/movementStrategy.html|False|http://robowiki.net/wiki/Gilgalad/movementStrategy|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Darkcanuck.html|True|http://robowiki.net/wiki/User:Darkcanuck|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/TronsGun.html|False|http://robowiki.net/wiki/TronsGun|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Category_Statistical_Targeting.html|True|http://robowiki.net/wiki/Category:Statistical_Targeting|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index98d8-3.html?title=Template:Generalize&action=history|False|http://robowiki.net/wiki/../w/index.php?title=Template:Generalize&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Awesomeness.html|False|http://robowiki.net/wiki/User:Awesomeness|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/indexd87e.html?title=User_talk:Kenran&action=history|False|http://robowiki.net/wiki/../w/index.php?title=User:talk:Kenran&action=history|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/SilverSurfer.html|False|http://robowiki.net/wiki/SilverSurfer|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Locke.html|True|http://robowiki.net/wiki/Locke|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Starrynte.html|True|http://robowiki.net/wiki/User:Starrynte|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Chase-san.html|False|http://robowiki.net/wiki/User:Chase-san|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Nene.html|False|http://robowiki.net/wiki/Nene|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Gunnm.html|False|http://robowiki.net/wiki/File:Gunnm|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RoboWiki_Guidelines_for_Code_Snippets.html|False|http://robowiki.net/wiki/RoboWiki:Guidelines_for_Code_Snippets|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Ali/BumbleBee.html|False|http://robowiki.net/wiki/Ali/BumbleBee|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Blubex/Snippets.html|False|http://robowiki.net/wiki/User:Blubex/Snippets|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Category_Archived_Talk.html|True|http://robowiki.net/wiki/Category:Archived_Talk|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_CalculatingScore.html|False|http://robowiki.net/wiki/CalculatingScore|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index559a.html?title=CalculatingScore&action=history|False|http://robowiki.net/wiki/../w/index.php?title=CalculatingScore&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Chase_Bullets/Implementations.html|False|http://robowiki.net/wiki/Chase_Bullets/Implementations|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Dummy.html|True|http://robowiki.net/wiki/User:Dummy|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index71b4.html?title=File:Walls.png&action=history|False|http://robowiki.net/wiki/../w/index.php?title=File:Walls.png&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Template_Migrating.html|True|http://robowiki.net/wiki/Template_Migrating|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/indexf339.html?title=Robot&action=history|False|http://robowiki.net/wiki/../w/index.php?title=Robot&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Caligula.html|False|http://robowiki.net/wiki/Caligula|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/CassiusClay/Update_History.html|False|http://robowiki.net/wiki/CassiusClay/Update_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RumbleStats.html|False|http://robowiki.net/wiki/RumbleStats|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RWLPCL.html|False|http://robowiki.net/wiki/RWLPCL|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Albert.html|False|http://robowiki.net/wiki/User:Albert|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Vic_Stewart.html|False|http://robowiki.net/wiki/User:Vic_Stewart|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_talk_Andrew.html|False|http://robowiki.net/wiki/User:Andrew|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index7445.html?title=User:Andrew&action=history|False|http://robowiki.net/wiki/../w/index.php?title=User:Andrew&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Axe.html|False|http://robowiki.net/wiki/User:Axe|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Brainfade.html|False|http://robowiki.net/wiki/User:Brainfade|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Deathcon.html|False|http://robowiki.net/wiki/User:Deathcon|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/FloatingTadpole.html|False|http://robowiki.net/wiki/FloatingTadpole|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Wiki_Targeting/Code.html|False|http://robowiki.net/wiki/Wiki_Targeting/Code|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Template_Youtube-2.html|True|http://robowiki.net/wiki/Template_Youtube-2|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Category_Source_Code.html|True|http://robowiki.net/wiki/Category:Source_Code|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RandomMovementBot/Archived_Talk.html|False|http://robowiki.net/wiki/RandomMovementBot/Archived_Talk|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RoboWiki_ReadMe.html|False|http://robowiki.net/wiki/RoboWiki:ReadMe|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/indexd35e.html?title=Archived_talk:Xor_20180221&action=history|False|http://robowiki.net/wiki/../w/index.php?title=Archived_talk:Xor_20180221&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index4b9f-2.html?title=Thread:User_talk:Xor/Congratulations_on_wiping_out_half_of_the_RoboRumble&action=history|False|http://robowiki.net/wiki/../w/index.php?title=Thread:User:talk:Xor/Congratulations_on_wiping_out_half_of_the_RoboRumble&action=history|False|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Adaptive_Movement.html|False|http://robowiki.net/wiki/Adaptive_Movement|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/../w/index8c66.html?title=File:Nat-lateral-velocity-explaination.jpg&action=history|False|http://robowiki.net/wiki/../w/index.php?title=File:Nat-lateral-velocity-explaination.jpg&action=history|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/User_Pedersen.html|False|http://robowiki.net/wiki/User:Pedersen|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Gouldingi.html|True|http://robowiki.net/wiki/Gouldingi|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Averaged_Bearing_Offset_Targeting.html|True|http://robowiki.net/wiki/Averaged_Bearing_Offset_Targeting|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Category_Articles_Requiring_Revision.html|True|http://robowiki.net/wiki/Category:Articles_Requiring_Revision|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Talk_Angular_Targeting/Factored.html|True|http://robowiki.net/wiki/Angular_Targeting/Factored|False|False|False
